Concurso,Data Sorteio,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Arrecadacao_Total,Ganhadores_Sena,Cidade,UF,Rateio_Sena,Ganhadores_Quina,Rateio_Quina,Ganhadores_Quadra,Rateio_Quadra,Acumulado,Valor_Acumulado,Estimativa_Prêmio,Acumulado_Mega_da_Virada
73,27/07/1997,57,25,45,28,51,26,000,1,,BA,21.026.57540,95,21.205270000000002,8222,24452.0,NÃO,000,000,000
74,03/08/1997,2,24,34,50,38,37,000,0,&nbsp,&nbsp,000,40,18.25768,3321,21948.0,SIM,876.36871,000,000
75,10/08/1997,36,49,37,35,24,21,000,0,&nbsp,&nbsp,000,70,12.39502,5032,17209.0,SIM,1.917.55002,000,000
76,17/08/1997,33,18,23,8,17,53,000,0,&nbsp,&nbsp,000,92,10.24761,6399,14704.0,SIM,3.048.88614,000,000
77,24/08/1997,29,54,40,57,49,21,000,0,&nbsp,&nbsp,000,20,49.64881,2635,37609.0,SIM,4.240.45760,000,000
78,31/08/1997,22,32,46,12,25,31,000,0,&nbsp,&nbsp,000,103,9.90736,5984,17019.0,SIM,5.465.00639,000,000
79,07/09/1997,43,25,2,13,31,17,000,1,,RS,6.770.60175,247,4.40485,13375,8118.0,NÃO,000,000,000
80,14/09/1997,51,40,37,23,48,28,000,0,&nbsp,&nbsp,000,43,26.443,4284,26489.0,SIM,10.953.70753,000,000
81,21/09/1997,47,41,10,60,54,23,000,0,&nbsp,&nbsp,000,62,19.45315,4870,24717.0,SIM,12.401.02168,000,000
82,28/09/1997,51,36,53,29,18,15,000,1,,BA,13.877.82602,77,15.982729999999998,5889,20857.0,NÃO,000,000,000
83,05/10/1997,24,16,4,42,57,15,000,0,&nbsp,&nbsp,000,76,9.408430000000001,4756,15004.0,SIM,858.04893,000,000
84,12/10/1997,10,34,4,6,25,40,000,0,&nbsp,&nbsp,000,102,7.539680000000001,5546,13840.0,SIM,1.780.90580,000,000
85,19/10/1997,47,15,30,37,45,6,000,0,&nbsp,&nbsp,000,45,17.27925,4312,17996.0,SIM,2.713.98486,000,000
86,26/10/1997,54,21,6,34,36,22,000,0,&nbsp,&nbsp,000,48,16.75296,3752,21390.0,SIM,3.678.95517,000,000
87,02/11/1997,40,4,28,32,11,5,000,0,&nbsp,&nbsp,000,64,12.6966,5195,15611.0,SIM,4.654.05386,000,000
88,09/11/1997,45,37,29,4,43,18,000,0,&nbsp,&nbsp,000,110,7.96582,6805,12851.0,SIM,5.705.54099,000,000
89,16/11/1997,59,42,34,13,44,55,000,0,&nbsp,&nbsp,000,36,24.246,3847,22645.0,SIM,6.752.96826,000,000
90,23/11/1997,21,26,40,54,9,52,000,1,,RJ,15.764.30087,74,18.58449,4763,28817.0,NÃO,000,000,000
91,30/11/1997,60,4,10,35,39,2,000,0,&nbsp,&nbsp,000,68,9.5888,3878,16781.0,SIM,782.44593,000,000
92,07/12/1997,5,23,51,3,1,24,000,0,&nbsp,&nbsp,000,75,9.792639999999999,5530,13256.0,SIM,1.663.78345,000,000
93,14/12/1997,22,53,31,28,2,36,000,0,&nbsp,&nbsp,000,61,12.36931,3795,19844.0,SIM,2.569.21731,000,000
94,21/12/1997,28,51,55,18,52,8,000,0,&nbsp,&nbsp,000,25,31.457490000000004,2086,37626.0,SIM,3.512.94216,000,000
95,28/12/1997,46,60,6,40,50,45,000,0,&nbsp,&nbsp,000,22,30.807890000000004,2185,30958.0,SIM,4.326.27055,000,000
96,04/01/1998,4,42,58,26,7,40,000,1,&nbsp,&nbsp,5.218.56247,62,11.99317,3984,18627.0,NÃO,000,000,000
97,11/01/1998,56,53,11,14,5,35,000,1,&nbsp,&nbsp,727.93266,56,10.83233,3441,17594.0,NÃO,000,000,000
98,18/01/1998,43,33,14,31,35,13,000,0,&nbsp,&nbsp,000,89,6.50888,4972,11628.0,SIM,695.14905,000,000
99,25/01/1998,30,33,24,11,46,60,000,0,&nbsp,&nbsp,000,46,14.037920000000002,3015,21376.0,SIM,1.470.04196,000,000
100,01/02/1998,46,48,30,14,29,51,000,0,&nbsp,&nbsp,000,56,15.93048,3600,24732.0,SIM,8.585.12947,000,000
101,08/02/1998,39,1,37,31,29,18,000,0,&nbsp,&nbsp,000,52,20.58941,4653,22964.0,SIM,9.869.90865,000,000
102,15/02/1998,44,42,37,56,19,20,000,1,&nbsp,&nbsp,11.336.62688,73,16.74336,6197,19685.0,NÃO,000,000,000
103,22/02/1998,9,1,57,7,54,49,000,1,&nbsp,&nbsp,696.98424,28,20.743579999999998,2632,22024.0,NÃO,000,000,000
104,01/03/1998,13,1,38,21,52,4,000,0,&nbsp,&nbsp,000,37,14.006329999999998,2588,19985.0,SIM,621.88072,000,000
105,08/03/1998,3,13,31,43,46,49,000,0,&nbsp,&nbsp,000,55,11.82408,4875,13314.0,SIM,1.402.26988,000,000
106,15/03/1998,24,16,38,5,39,35,9.795.27800,0,&nbsp,&nbsp,000,94,7.6782699999999995,5390,13365.0,SIM,2.268.37866,3.000.00000,000
107,22/03/1998,2,24,52,4,16,51,000,0,&nbsp,&nbsp,000,35,21.494229999999998,3554,21126.0,SIM,3.171.13601,000,000
108,29/03/1998,60,29,34,24,21,59,000,0,&nbsp,&nbsp,000,35,22.51172,2453,32057.0,SIM,4.116.62849,000,000
109,04/04/1998,54,13,44,49,48,1,000,0,&nbsp,&nbsp,000,39,21.1533,3881,21215.0,SIM,11.523.67738,000,000
110,11/04/1998,57,58,18,31,43,52,000,0,&nbsp,&nbsp,000,35,27.77148,3212,30201.0,SIM,12.690.07916,000,000
111,18/04/1998,52,32,4,33,25,22,000,0,&nbsp,&nbsp,000,68,18.08294,6109,20088.0,SIM,14.165.64719,000,000
112,25/04/1998,37,43,34,20,12,42,000,1,&nbsp,&nbsp,15.802.57993,137,9.95701,8340,16325.0,NÃO,000,000,000
113,02/05/1998,34,54,26,28,55,7,000,0,&nbsp,&nbsp,000,38,14.26955,2572,21040.0,SIM,650.69140,000,000
114,09/05/1998,47,54,18,6,12,37,000,0,&nbsp,&nbsp,000,71,9.62608,4908,13899.0,SIM,1.470.83369,000,000
115,16/05/1998,6,14,24,20,4,38,000,0,&nbsp,&nbsp,000,78,9.2831,5091,14195.0,SIM,2.339.73179,000,000
116,23/05/1998,36,42,32,5,13,51,10.384.87800,0,&nbsp,&nbsp,000,64,11.95628,5270,14491.0,SIM,3.257.97362,4.200.00000,000
117,30/05/1998,53,42,27,20,33,25,000,0,&nbsp,&nbsp,000,36,22.046870000000002,3822,20726.0,SIM,4.210.39841,000,000
118,06/06/1998,22,57,37,9,25,56,000,0,&nbsp,&nbsp,000,53,16.05288,4342,19556.0,SIM,5.231.36136,000,000
119,13/06/1998,47,21,1,50,36,38,000,0,&nbsp,&nbsp,000,21,38.92116,2691,30313.0,SIM,13.206.22591,000,000
120,20/06/1998,46,45,16,40,27,3,000,0,&nbsp,&nbsp,000,92,13.02097,7073,16904.0,SIM,14.643.74070,000,000
121,27/06/1998,53,41,44,2,29,55,000,0,&nbsp,&nbsp,000,45,28.917,4554,28517.0,SIM,16.205.25833,000,000
122,04/07/1998,20,43,39,11,53,17,000,0,&nbsp,&nbsp,000,83,18.21045,7203,20943.0,SIM,18.019.01895,000,000
123,11/07/1998,13,42,16,32,14,26,000,0,&nbsp,&nbsp,000,176,12.440560000000001,13159,16606.0,SIM,20.646.46528,000,000
124,18/07/1998,52,5,34,57,15,41,000,1,&nbsp,&nbsp,24.536.28872,188,17.24212,14019,23076.0,NÃO,000,000,000
125,25/07/1998,56,47,25,59,53,41,000,0,&nbsp,&nbsp,000,46,15.425679999999998,2784,25438.0,SIM,851.49747,000,000
126,01/08/1998,32,28,6,10,11,40,000,0,&nbsp,&nbsp,000,83,10.05256,5510,15113.0,SIM,1.852.73183,000,000
127,08/08/1998,59,21,51,54,29,50,000,0,&nbsp,&nbsp,000,40,23.63847,2613,36114.0,SIM,2.987.37817,000,000
128,15/08/1998,23,43,3,21,9,18,000,0,&nbsp,&nbsp,000,973,1.02441,11715,8491.0,SIM,4.183.48350,000,000
129,22/08/1998,46,54,10,9,1,32,000,0,&nbsp,&nbsp,000,67,15.63441,5320,19651.0,SIM,5.440.49000,000,000
130,29/08/1998,13,42,38,49,53,29,000,0,&nbsp,&nbsp,000,155,11.79624,11403,16003.0,SIM,18.814.95831,000,000
131,05/09/1998,30,9,17,27,4,44,000,0,&nbsp,&nbsp,000,361,6.8116699999999994,21683,11319.0,SIM,21.765.77449,000,000
132,12/09/1998,44,35,50,41,9,7,000,0,&nbsp,&nbsp,000,143,20.84664,12179,24429.0,SIM,25.343.05789,000,000
133,19/09/1998,19,57,6,39,34,5,000,1,&nbsp,&nbsp,30.533.24112,431,10.035160000000001,29264,14751.0,NÃO,000,000,000
134,26/09/1998,60,32,25,36,52,4,000,0,&nbsp,&nbsp,000,82,10.25338,4575,18342.0,SIM,1.008.93239,000,000
135,03/10/1998,35,40,21,59,53,22,000,0,&nbsp,&nbsp,000,40,24.573179999999997,3604,27219.0,SIM,2.188.44472,000,000
136,10/10/1998,17,25,45,38,1,59,000,0,&nbsp,&nbsp,000,126,8.435360000000001,7403,14329.0,SIM,3.463.87117,000,000
137,17/10/1998,26,15,16,22,19,49,000,0,&nbsp,&nbsp,000,88,12.67549,6701,16613.0,SIM,4.802.40293,000,000
138,24/10/1998,41,14,37,5,40,27,000,0,&nbsp,&nbsp,000,86,14.07436,6953,17374.0,SIM,6.254.87680,000,000
139,31/10/1998,26,27,13,42,41,3,000,2,&nbsp,&nbsp,3.902.48614,179,7.2164600000000005,9401,13714.0,NÃO,000,000,000
140,07/11/1998,55,31,46,44,41,7,000,0,&nbsp,&nbsp,000,45,36.58133,4945,33224.0,SIM,16.453.62831,000,000
141,14/11/1998,10,22,42,13,41,58,000,0,&nbsp,&nbsp,000,119,20.1061,10533,22670.0,SIM,19.324.77890,000,000
142,21/11/1998,20,59,19,54,15,8,000,0,&nbsp,&nbsp,000,162,18.14356,13991,20966.0,SIM,22.851.88724,000,000
143,28/11/1998,40,18,6,20,50,53,000,0,&nbsp,&nbsp,000,144,24.79299,10994,32410.0,SIM,27.136.11588,000,000
144,05/12/1998,8,32,44,36,45,55,000,1,&nbsp,&nbsp,33.597.75521,257,20.95214,23952,22438.0,NÃO,000,000,000
145,12/12/1998,43,15,41,51,16,31,000,0,&nbsp,&nbsp,000,71,15.06127,3389,31491.0,SIM,1.283.22059,000,000
146,19/12/1998,51,34,25,60,42,32,000,0,&nbsp,&nbsp,000,51,23.92345,4079,29852.0,SIM,2.747.33581,000,000
147,24/12/1998,24,6,38,23,28,16,000,1,&nbsp,&nbsp,3.805.75038,75,11.76017,5418,16248.0,NÃO,000,000,000
148,31/12/1998,32,55,59,41,58,35,000,0,&nbsp,&nbsp,000,15,53.66004,2322,34595.0,SIM,965.88061,000,000
149,09/01/1999,11,45,48,7,28,20,000,0,&nbsp,&nbsp,000,106,9.79513,6290,16474.0,SIM,2.211.82094,000,000
150,16/01/1999,50,44,12,55,52,54,000,0,&nbsp,&nbsp,000,56,36.37871,5540,36700.0,SIM,21.414.53014,000,000
151,23/01/1999,3,43,16,56,52,20,000,1,&nbsp,&nbsp,24.091.81102,152,14.678070000000002,9869,22562.0,NÃO,000,000,000
152,30/01/1999,12,5,15,51,58,29,000,0,&nbsp,&nbsp,000,75,11.562389999999999,5041,17203.0,SIM,1.040.61480,000,000
153,06/02/1999,47,2,31,42,45,30,000,0,&nbsp,&nbsp,000,47,22.84645,4218,25457.0,SIM,2.329.15462,000,000
154,13/02/1999,8,10,24,33,45,48,000,0,&nbsp,&nbsp,000,144,7.88829,9252,12278.0,SIM,3.692.25160,000,000
155,20/02/1999,12,32,44,43,35,30,000,1,&nbsp,&nbsp,4.988.80821,67,16.12632,4974,21722.0,NÃO,000,000,000
156,27/02/1999,52,23,42,17,55,49,000,0,&nbsp,&nbsp,000,74,11.0181,4455,18302.0,SIM,978.40741,000,000
157,06/03/1999,17,13,4,44,41,21,000,1,&nbsp,&nbsp,2.140.03092,134,7.22403,8894,10884.0,NÃO,000,000,000
158,13/03/1999,58,43,51,14,17,4,000,0,&nbsp,&nbsp,000,31,25.85653,3630,22081.0,SIM,961.86312,000,000
159,20/03/1999,16,9,50,58,11,35,000,1,,PR,2.038.17067,57,15.735489999999999,4124,21749.0,NÃO,000,000,000
160,27/03/1999,13,42,52,58,2,54,000,0,&nbsp,&nbsp,000,74,19.43189,6132,23450.0,SIM,11.251.51163,000,000
161,03/04/1999,25,37,30,39,6,41,000,0,&nbsp,&nbsp,000,95,14.43061,6865,19969.0,SIM,12.896.60104,000,000
162,10/04/1999,23,33,51,38,48,21,000,0,&nbsp,&nbsp,000,92,20.9413,7244,26596.0,SIM,15.208.52083,000,000
163,17/04/1999,41,56,27,36,53,8,000,2,&nbsp,&nbsp,8.975.83336,146,15.657229999999998,10793,21180.0,NÃO,000,000,000
164,24/04/1999,4,19,14,10,44,28,000,0,&nbsp,&nbsp,000,111,7.59563,8386,10054.0,SIM,1.011.73790,000,000
165,01/05/1999,39,56,19,23,10,35,000,2,&nbsp,&nbsp,1.044.44454,75,11.96835,5378,16691.0,NÃO,000,000,000
166,08/05/1999,60,57,59,13,12,22,000,0,&nbsp,&nbsp,000,47,17.424670000000003,3371,24295.0,SIM,982.75154,000,000
167,15/05/1999,1,38,48,28,11,33,000,1,&nbsp,&nbsp,2.100.98021,82,11.36411,4997,18648.0,NÃO,000,000,000
168,22/05/1999,45,2,35,9,50,31,000,0,&nbsp,&nbsp,000,48,15.7437,3528,21420.0,SIM,906.83693,000,000
169,29/05/1999,52,51,37,13,21,1,000,0,&nbsp,&nbsp,000,65,13.679079999999999,4489,19807.0,SIM,1.973.80491,000,000
170,05/06/1999,7,51,55,41,58,46,000,0,&nbsp,&nbsp,000,50,32.38395,6257,25878.0,SIM,13.643.09571,000,000
171,12/06/1999,54,27,4,43,40,46,000,1,&nbsp,&nbsp,16.052.41083,134,14.9833,10378,19346.0,NÃO,000,000,000
172,19/06/1999,49,36,14,26,35,10,000,0,&nbsp,&nbsp,000,64,13.460120000000002,4592,18689.0,SIM,1.033.73670,000,000
173,26/06/1999,29,28,49,17,42,50,000,1,&nbsp,&nbsp,2.148.31642,40,23.22041,3610,25632.0,NÃO,000,000,000
174,03/07/1999,11,52,22,23,36,59,000,0,&nbsp,&nbsp,000,44,17.84685,3217,24318.0,SIM,942.31358,000,000
175,10/07/1999,10,20,13,1,42,50,000,0,&nbsp,&nbsp,000,114,8.09408,7058,13025.0,SIM,2.049.58299,000,000
176,17/07/1999,28,4,1,45,53,3,000,0,&nbsp,&nbsp,000,62,16.69639,5405,19080.0,SIM,3.291.79461,000,000
177,24/07/1999,35,22,39,41,59,38,000,0,&nbsp,&nbsp,000,52,21.71629,4408,25521.0,SIM,4.646.89081,000,000
178,31/07/1999,5,27,19,26,15,33,000,1,&nbsp,&nbsp,6.129.53943,198,6.24011,13086,9407.0,NÃO,000,000,000
179,07/08/1999,6,53,5,26,27,23,000,0,&nbsp,&nbsp,000,78,10.28159,5646,14151.0,SIM,962.35704,000,000
180,14/08/1999,39,6,29,60,51,23,000,0,&nbsp,&nbsp,000,111,15.907979999999998,6978,25209.0,SIM,12.143.00993,000,000
181,21/08/1999,33,1,55,35,51,27,000,0,&nbsp,&nbsp,000,182,11.12707,11797,17102.0,SIM,14.573.16271,000,000
182,28/08/1999,46,60,5,10,28,3,000,0,&nbsp,&nbsp,000,239,9.95478,17413,13613.0,SIM,17.428.19422,000,000
183,04/09/1999,16,11,7,40,44,2,000,0,&nbsp,&nbsp,000,306,9.46879,20677,13960.0,SIM,20.905.13140,000,000
184,11/09/1999,9,60,21,16,41,34,000,0,&nbsp,&nbsp,000,217,14.69997,15462,20553.0,SIM,24.733.00315,000,000
185,18/09/1999,59,17,22,46,43,55,000,0,&nbsp,&nbsp,000,366,12.27586,24849,18013.0,SIM,30.124.56109,000,000
186,25/09/1999,24,26,51,25,14,23,000,0,&nbsp,&nbsp,000,352,17.07224,31164,19210.0,SIM,37.335.87486,000,000
187,02/10/1999,6,44,58,41,36,48,000,0,&nbsp,&nbsp,000,397,23.05835,39365,23166.0,SIM,48.320.87360,000,000
188,10/10/1999,34,42,43,46,27,17,000,1,&nbsp,&nbsp,64.905.51765,1200,11.51711,90235,15258.0,NÃO,000,000,000
189,16/10/1999,41,53,38,4,31,15,000,0,&nbsp,&nbsp,000,61,23.47618,5485,26009.0,SIM,1.718.45625,000,000
190,24/10/1999,32,40,42,21,10,5,000,0,&nbsp,&nbsp,000,304,14.923960000000001,21481,21041.0,SIM,44.895.98805,000,000
191,31/10/1999,58,5,41,3,1,23,000,1,&nbsp,&nbsp,50.968.41258,383,13.21241,30477,16541.0,NÃO,000,000,000
192,06/11/1999,1,60,26,41,28,54,000,0,&nbsp,&nbsp,000,53,23.00508,4403,27587.0,SIM,1.463.12278,000,000
